epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-14 14:04:14.200,0.193,-1.098,0.157,-39.248,22.581,17.073,A,row,heavy
2019-01-14 14:04:14.300,0.1405,-1.2025000000000001,0.064,-36.310500000000005,1.4025,15.0915,A,row,heavy
2019-01-14 14:04:14.400,0.107,-1.236,-0.018,-26.808999999999997,6.077333333333333,7.256,A,row,heavy
2019-01-14 14:04:14.500,0.096,-1.189,-0.105,-8.811,3.354,2.1955,A,row,heavy
2019-01-14 14:04:14.600,0.072,-1.18,-0.068,0.6303333333333333,-1.4023333333333332,-1.7476666666666667,A,row,heavy
2019-01-14 14:04:14.700,0.077,-1.084,-0.07450000000000001,3.2924999999999995,-3.8415,-1.2195,A,row,heavy
2019-01-14 14:04:14.800,0.061,-1.022,-0.057,1.931,-3.048666666666667,-0.18299999999999997,A,row,heavy
2019-01-14 14:04:14.900,0.073,-1.007,-0.048,-0.18300000000000002,-3.0185000000000004,1.2195,A,row,heavy
2019-01-14 14:04:15.000,0.063,-0.99,-0.062,-0.61,-0.427,1.159,A,row,heavy
2019-01-14 14:05:37.500,-0.015,-0.938,0.052,-32.073,-5.7620000000000005,-3.75,C,row,heavy
2019-01-14 14:05:37.600,-0.0335,-1.0075,-0.0125,-18.882,-6.1176666666666675,-3.9836666666666667,C,row,heavy
2019-01-14 14:05:37.700,-0.021,-1.044,-0.023,-4.6345,-7.134,-1.433,C,row,heavy
2019-01-14 14:05:37.800,-0.021,-1.053,-0.04,3.455,-2.6626666666666665,-1.484,C,row,heavy
2019-01-14 14:05:37.900,-0.021,-1.062,-0.055,8.7805,-1.799,0.8535,C,row,heavy
2019-01-14 14:05:38.000,-0.0245,-1.0625,-0.0535,4.045,2.3576666666666664,3.048666666666667,C,row,heavy
2019-01-14 14:05:38.100,-0.024,-1.088,-0.068,2.287,5.5794999999999995,6.494,C,row,heavy
2019-01-14 14:05:38.200,-0.041,-1.161,-0.059,5.6706666666666665,4.390333333333333,3.1503333333333337,C,row,heavy
2019-01-14 14:05:38.300,-0.041,-1.274,-0.1,13.3845,-1.3110000000000002,-7.012499999999999,C,row,heavy
2019-01-14 14:05:38.400,-0.033,-1.4525,-0.08399999999999999,26.87,-7.927,-18.801,C,row,heavy
2019-01-14 14:05:38.500,0.001,-1.497,-0.042,31.128,-29.238,-34.756,C,row,heavy
2019-01-14 14:05:38.600,0.051,-1.379,0.021,40.67066666666667,-46.239666666666665,-34.532666666666664,C,row,heavy
2019-01-14 14:05:38.700,0.161,-1.142,0.108,30.122,-46.341499999999996,-29.8475,C,row,heavy
2019-01-14 14:05:38.800,0.176,-0.6905,0.16699999999999998,16.199,-31.158666666666665,15.487666666666668,C,row,heavy
2019-01-14 14:05:38.900,0.076,-0.124,0.12,15.0915,-1.616,29.8785,C,row,heavy
2019-01-14 14:05:39.000,0.041,-0.154,0.164,-4.2683333333333335,18.94333333333333,3.638333333333333,C,row,heavy
2019-01-14 14:05:39.100,0.117,-0.616,0.138,-17.012,12.622,22.561,C,row,heavy
2019-01-14 14:05:39.200,0.14450000000000002,-1.099,0.2545,-34.93866666666667,16.219666666666665,23.922666666666668,C,row,heavy
2019-01-14 14:05:39.300,0.015,-1.215,0.08,-25.1215,9.5425,11.0975,C,row,heavy
2019-01-14 14:05:39.400,0.009,-1.122,0.054,-18.272333333333332,5.609666666666667,10.914666666666667,C,row,heavy
2019-01-14 14:05:39.500,0.026,-1.081,0.036,-15.9145,11.951,11.372,C,row,heavy
2019-01-14 14:05:39.600,-0.0335,-1.126,0.004,-4.004333333333333,8.597666666666667,8.394,C,row,heavy
2019-01-14 14:05:39.700,-0.042,-1.371,-0.021,2.073,9.238,1.6465,C,row,heavy
2019-01-14 14:05:39.800,-0.048,-1.523,-0.049,16.23966666666667,-1.2803333333333329,-10.833333333333334,C,row,heavy
2019-01-14 14:05:39.900,-0.041,-1.507,-0.023,34.146,-14.939,-33.170500000000004,C,row,heavy
2019-01-14 14:05:40.000,0.033999999999999996,-1.2705000000000002,0.039,43.068999999999996,-29.451000000000004,-35.711333333333336,C,row,heavy
2019-01-14 14:05:40.100,0.204,-1.021,0.249,53.1405,-28.0795,-21.3415,C,row,heavy
2019-01-14 14:05:40.200,0.068,-0.68,0.17,25.772666666666666,-15.995666666666667,6.585666666666666,C,row,heavy
2019-01-14 14:05:40.300,0.083,-0.189,0.115,18.4755,-2.256,2.6525000000000003,C,row,heavy
2019-01-14 14:05:40.400,0.092,-0.3175,0.1785,-12.865666666666668,17.032666666666668,10.934666666666667,C,row,heavy
2019-01-14 14:05:40.500,0.147,-0.913,0.25,-53.537,19.2685,29.9695,C,row,heavy
2019-01-14 14:05:40.600,0.101,-1.136,0.202,-62.154333333333334,10.955333333333334,33.394666666666666,C,row,heavy
2019-01-14 14:05:40.700,-0.003,-1.212,0.049,-42.683,9.695,14.1155,C,row,heavy
2019-01-14 14:05:40.800,-0.031,-1.182,-0.006000000000000001,-21.788333333333338,2.642,6.300999999999999,C,row,heavy
2019-01-14 14:05:40.900,-0.065,-1.128,-0.03,0.3959999999999999,-4.878,3.0795000000000003,C,row,heavy
2019-01-14 14:05:41.000,-0.042,-1.121,-0.021,7.398666666666667,6.158333333333334,2.236,C,row,heavy
2019-01-14 14:05:41.100,-0.011,-1.229,-0.014,10.579,5.122,3.5669999999999997,C,row,heavy
2019-01-14 14:05:41.200,-0.06,-1.3945,-0.044000000000000004,17.337666666666667,-2.1546666666666665,-8.293000000000001,C,row,heavy
2019-01-14 14:05:41.300,-0.034,-1.374,-0.007,33.323,-10.915,-23.7195,C,row,heavy
2019-01-14 14:05:41.400,0.003,-1.265,0.063,43.04866666666667,-21.849333333333334,-32.66266666666667,C,row,heavy
2019-01-14 14:05:41.500,0.09,-1.174,0.104,51.2805,-18.14,-37.561,C,row,heavy
2019-01-14 14:05:41.600,0.175,-0.9349999999999999,0.2475,45.061,-39.065,-26.951333333333334,C,row,heavy
2019-01-14 14:05:41.700,0.133,-0.539,0.121,29.0855,-12.317,3.9330000000000003,C,row,heavy
2019-01-14 14:05:41.800,0.068,-0.176,0.188,11.077333333333334,2.0936666666666666,2.642333333333333,C,row,heavy
2019-01-14 14:05:41.900,0.063,-0.27,0.169,-22.9875,20.1525,15.6405,C,row,heavy
2019-01-14 14:05:42.000,0.1735,-0.8234999999999999,0.28800000000000003,-53.882000000000005,20.122,27.052666666666667,C,row,heavy
2019-01-14 14:05:42.100,0.116,-1.136,0.219,-61.128,12.8965,25.9145,C,row,heavy
2019-01-14 14:05:42.200,0.101,-1.172,0.135,-49.73566666666667,15.386333333333333,27.35766666666667,C,row,heavy
